Opening graph file ten_spot_hexlike.graph ...
File opened, performing sanity checks ...
    ... sanity checks passed!

All paths examined!
    No solutions found!
         11350167 function calls (9401979 primitive calls) in 24.846 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1947758/10   14.297    0.000   24.824    2.482 koenigsberg_lib.py:172(_solve_from)
  1817224    3.450    0.000    3.450    0.000 util.py:77(<genexpr>)
  1947758    2.044    0.000    2.044    0.000 koenigsberg_lib.py:203(<listcomp>)
  1947748    1.478    0.000    1.478    0.000 koenigsberg_lib.py:206(<listcomp>)
   108754    1.074    0.000    4.524    0.000 {method 'join' of 'str' objects}
  1192553    1.046    0.000    1.046    0.000 {built-in method builtins.sorted}
2056665/2056644    0.660    0.000    0.660    0.000 {built-in method builtins.len}
   108616    0.353    0.000    0.353    0.000 koenigsberg_lib.py:224(<listcomp>)
   108616    0.350    0.000    4.874    0.000 util.py:46(_default_path_formatter)
   108626    0.072    0.000    0.072    0.000 util.py:252(log_it)
        3    0.002    0.001    0.002    0.001 {built-in method marshal.loads}
       25    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
     12/7    0.001    0.000    0.002    0.000 sre_parse.py:494(_parse)
  854/502    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
       56    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
        9    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
      176    0.000    0.000    0.001    0.000 typing.py:848(__subclasscheck__)
        1    0.000    0.000    0.002    0.002 locale.py:1(<module>)
     20/6    0.000    0.000    0.001    0.000 sre_compile.py:87(_compile)
       11    0.000    0.000    0.010    0.001 argparse.py:1404(add_argument)
      176    0.000    0.000    0.001    0.000 typing.py:719(__instancecheck__)
        1    0.000    0.000    0.000    0.000 util.py:247(<dictcomp>)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      124    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       28    0.000    0.000    0.004    0.000 re.py:289(_compile)
       24    0.000    0.000    0.000    0.000 posixpath.py:71(join)
       11    0.000    0.000    0.009    0.001 argparse.py:170(__init__)
       11    0.000    0.000    0.001    0.000 shutil.py:1342(get_terminal_size)
      176    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 __init__.py:345(namedtuple)
       11    0.000    0.000    0.000    0.000 argparse.py:1545(_get_optional_kwargs)
        4    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1383(_get_spec)
        1    0.000    0.000    0.001    0.001 util.py:129(_sanity_check_dicts)
        3    0.000    0.000    0.005    0.002 gettext.py:542(find)
    24/10    0.000    0.000    0.000    0.000 sre_parse.py:175(getwidth)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
        2    0.000    0.000    0.001    0.001 util.py:101(_sanity_check_graph)
      4/1    0.000    0.000   24.846   24.846 {built-in method builtins.exec}
        3    0.000    0.000    0.000    0.000 {built-in method io.open_code}
      105    0.000    0.000    0.000    0.000 sre_parse.py:165(__getitem__)
      100    0.000    0.000    0.000    0.000 sre_parse.py:234(__next)
        3    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        6    0.000    0.000    0.004    0.001 gettext.py:211(_expand_lang)
      354    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      174    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
     11/6    0.000    0.000    0.002    0.000 sre_parse.py:436(_parse_sub)
      174    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        6    0.000    0.000    0.003    0.001 sre_compile.py:783(compile)
      7/2    0.000    0.000    0.011    0.006 <frozen importlib._bootstrap>:1002(_find_and_load)
        7    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       25    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
       11    0.000    0.000    0.000    0.000 argparse.py:1465(_add_action)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        1    0.000    0.000    0.001    0.001 util.py:167(normalize_dicts)
        1    0.000    0.000   24.846   24.846 koenigsberg.py:110(parse_args)
        3    0.000    0.000    0.001    0.000 argparse.py:1322(__init__)
       11    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
       47    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        6    0.000    0.000    0.000    0.000 sre_compile.py:560(_compile_info)
      7/2    0.000    0.000    0.010    0.005 <frozen importlib._bootstrap>:659(_load_unlocked)
      254    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:916(get_code)
        6    0.000    0.000    0.000    0.000 sre_compile.py:292(_optimize_charset)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
       78    0.000    0.000    0.000    0.000 util.py:31(flatten_list)
        2    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x94bdc0}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        1    0.000    0.000    0.001    0.001 util.py:213(graph_to_dicts)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        6    0.000    0.000    0.002    0.000 sre_parse.py:944(parse)
